Population,AverageHealth
100,92.19
100,84.53
100,76.87
100,69.21
100,61.67
99,54.6667
99,47.0404
99,39.5253
82,40.3537
66,43.0455
64,38.625
55,39.6909
44,44.25
44,39.7955
39,40.3333
37,38.3243
30,43
30,39.3333
26,40.7692
17,57.3529
17,54.7059
17,52.0588
16,52.3125
13,59.9231
13,57.3077
13,54.3077
13,51.3077
12,52.6667
12,50.0833
12,47.5
12,44.9167
9,55.1111
9,52.6667
8,56.375
8,53.75
8,51.125
7,55.4286
6,62.1667
6,60.6667
6,59.1667
6,57.6667
6,56.1667
5,65.6
5,64.8
5,64
5,63.2
5,62.4
4,76
4,75.5
4,73.75
4,72
4,70.25
4,68.5
4,66.75
4,65
4,63.25
4,61.5
4,59.75
4,58
4,56.25
4,54.5
4,52.75
4,51
4,49.25
4,47.5
4,45.75
4,44
4,42.25
3,54
3,53.3333
3,52.6667
3,52
3,51.3333
3,50.6667
3,50
3,49.3333
3,48.6667
3,48
3,47.3333
3,46.6667
3,46
3,45.3333
3,44.6667
3,44
3,43.3333
3,42.6667
3,42
3,41.3333
3,40.6667
3,40
3,39.3333
3,38.6667
3,38
3,37.3333
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
0,0
