Subject,Trait,Value,Action,Rating,Relevance
Food,Size,smaller,Attack,2,190
Food,Color,2,Idle,3,36
Org,Color,6,MatingOff,3,105
Food,Color,7,MatingOff,6,111
Food,Proximity,near,Eat,7,276
Org,Size,larger,MoveAway,1,66
Food,Newborn,no,Idle,6,45
Org,Newborn,yes,MoveAway,4,66
Food,Mateable,yes,Eat,4,120
Food,Size,smaller,Eat,4,4465
Food,Color,6,MoveAway,1,190
Food,Newborn,yes,Eat,6,120
Org,Mateable,no,Eat,3,78
Org,Size,similar,Eat,4,300
Org,Newborn,no,MoveAway,2,105
Org,Proximity,near,Attack,3,78
Org,Size,larger,MoveAway,6,36
Org,Size,similar,Idle,2,36
Org,Color,1,Eat,7,253
Org,Proximity,near,MoveToward,4,45
Org,Size,similar,MoveToward,4,136
Food,Size,similar,Idle,0,190
Org,Proximity,far,MatingOff,3,36
Food,Size,smaller,Eat,3,276
Org,Color,0,Idle,3,78
Food,Newborn,yes,Eat,5,496
Food,Color,6,MatingOff,4,36
Food,Proximity,near,MoveAway,5,28
Org,Proximity,near,MatingOn,6,66
Org,Size,larger,Eat,0,4005
Org,Mateable,no,Attack,1,36
Org,Color,3,MoveAway,7,241
Org,Color,6,MatingOn,6,45
Org,Color,1,Idle,1,36
Food,Color,2,MoveToward,7,136
Food,Color,1,MatingOff,0,45
Org,Color,1,MoveAway,6,190
Food,Proximity,near,MoveAway,3,36
Food,Newborn,yes,Eat,1,91
Org,Proximity,far,Idle,7,190
Food,Proximity,far,MatingOn,1,66
Food,Mateable,yes,MoveAway,5,45
Org,Size,smaller,Eat,6,630
Org,Mateable,no,Eat,4,5050
Org,Newborn,no,MoveToward,5,66
Food,Newborn,no,Attack,1,66
Org,Proximity,far,Eat,1,105
Org,Proximity,far,Eat,2,105
Food,Size,similar,MoveAway,3,66
Org,Size,larger,Eat,5,15
Food,Mateable,yes,MatingOff,5,78
Org,Color,6,Idle,2,78
Org,Proximity,far,MoveToward,3,91
Food,Color,2,Eat,7,1128
Food,Color,0,MoveToward,3,136
Org,Size,smaller,MoveToward,2,78
Org,Color,0,Eat,0,325
Food,Color,2,MoveToward,1,66
Food,Color,7,MatingOff,7,120
Org,Proximity,far,MoveToward,7,45
Org,Color,7,MoveAway,3,78
Org,Color,1,Idle,4,45
Food,Proximity,near,MoveAway,4,45
Food,Proximity,far,MoveToward,7,45
Food,Newborn,no,Eat,5,4465
Food,Size,smaller,Eat,6,276
Org,Color,4,MoveAway,3,45
Food,Size,larger,MatingOff,2,190
Org,Newborn,no,MoveAway,0,136
Org,Proximity,far,MatingOn,2,36
Food,Mateable,yes,MoveToward,0,78
Org,Proximity,far,Idle,3,136
Org,Color,0,MatingOff,5,105
Food,Size,smaller,MoveToward,6,136
Org,Color,6,Eat,1,171
Org,Newborn,yes,Eat,0,91
Food,Size,similar,Idle,7,136
Org,Mateable,yes,Attack,3,15
Org,Size,larger,MoveToward,0,66
Org,Color,3,MoveToward,1,66
Food,Proximity,near,Idle,7,190
Food,Mateable,no,MatingOn,5,45
Food,Color,6,Eat,7,1128
Food,Mateable,no,Eat,2,4465
Food,Size,larger,MoveToward,0,78
Org,Newborn,yes,Attack,2,66
Food,Mateable,no,Attack,0,45
Food,Newborn,yes,Eat,3,1128
Food,Color,0,MoveToward,6,66
Org,Size,larger,MoveAway,4,91
Food,Color,5,Idle,0,136
Food,Size,similar,Attack,5,66
Food,Proximity,near,MoveToward,1,21
Food,Color,2,Attack,6,45
Org,Proximity,far,MoveToward,5,45
Org,Mateable,no,Attack,7,28
Org,Size,similar,Idle,5,66
