Subject,Trait,Value,Action,Rating,Relevance
Org,Color,7,Eat,1,6
Food,Size,smaller,MatingOn,5,6
Org,Color,2,MoveAway,6,6
Food,Proximity,near,Idle,7,341
Org,Color,3,MoveAway,1,6
Org,Size,smaller,MoveToward,6,6
Org,Proximity,far,Attack,5,6
Org,Size,larger,MoveToward,2,42
Food,Proximity,far,Idle,1,105
Org,Color,0,MatingOff,3,237
Org,Proximity,far,Idle,7,63
Food,Color,3,MoveToward,0,36
Org,Size,similar,Idle,5,52
Org,Mateable,yes,MatingOff,5,36
Org,Color,6,MoveAway,0,46
Food,Proximity,near,Idle,3,501
Org,Mateable,yes,MatingOff,4,36
Org,Newborn,no,Attack,4,46
Food,Proximity,far,Eat,1,336
Food,Mateable,no,MoveToward,3,36
Org,Mateable,no,Eat,5,286
Org,Color,6,MoveToward,1,297
Org,Proximity,far,MatingOn,1,276
Org,Color,0,MatingOn,5,282
Org,Color,2,MatingOff,2,288
Food,Color,5,Eat,0,276
Food,Size,smaller,Eat,0,871
Org,Mateable,no,Eat,3,4842
Org,Mateable,no,MoveToward,2,276
Org,Size,larger,Eat,2,358
Org,Proximity,near,Eat,5,1051
Org,Proximity,near,MoveAway,0,956
Food,Proximity,near,Eat,6,4696
Org,Proximity,near,Idle,7,992
Food,Color,3,MatingOff,1,946
Org,Newborn,no,MoveToward,1,988
Food,Proximity,far,MatingOn,3,956
Org,Color,1,MoveToward,1,946
Org,Size,similar,MoveAway,6,1024
Org,Proximity,near,Eat,7,2050
Org,Proximity,near,MoveToward,7,6
Org,Proximity,far,MoveAway,4,1384
Org,Size,smaller,Eat,6,6
Org,Mateable,no,Attack,3,6
Org,Size,larger,MoveAway,6,32
Food,Size,similar,Attack,3,6
Org,Size,larger,MatingOn,4,306
Food,Newborn,yes,Idle,3,6
Food,Mateable,yes,MoveToward,7,6
Org,Size,larger,MatingOn,5,6
Org,Color,1,MatingOff,0,78
Org,Newborn,no,Eat,3,84
Food,Mateable,no,MoveToward,2,78
Org,Size,larger,Idle,3,78
Org,Color,1,MoveAway,6,78
Org,Size,similar,Attack,3,88
Org,Size,larger,MatingOff,1,156
Food,Newborn,no,MatingOff,1,78
Food,Color,4,MoveToward,1,78
Food,Proximity,far,MoveAway,6,133
Food,Size,larger,Attack,0,6
Food,Proximity,far,Idle,5,6
Food,Mateable,yes,MoveToward,0,6
Org,Mateable,yes,MatingOn,6,6
Org,Newborn,yes,Idle,4,6
Food,Color,2,Attack,2,6
Org,Proximity,far,Attack,7,6
Food,Size,larger,MatingOn,3,6
Food,Newborn,yes,MatingOff,3,6
Org,Proximity,near,MatingOn,3,510
Org,Newborn,yes,MoveAway,6,465
Org,Size,similar,Idle,2,475
Org,Color,1,Eat,4,465
